step,epoch,loss,lr,grad_norm,logit_scale
0,0,5.651134490966797,0.0,8.041991233825684,2.6592600345611572
50,0,,,,
50,1,4.304143905639648,7.5e-05,4.043949604034424,2.659579038619995
100,1,,,,
100,2,4.1855926513671875,0.00015,10.467890739440918,2.659904718399048
150,2,,,,
150,3,4.0882039070129395,0.000225,6.286722660064697,2.6565961837768555
200,3,,,,
200,4,3.996687173843384,0.0003,5.124406814575195,2.651097536087036
250,4,,,,
250,5,3.8589248657226562,0.00029711779206048454,4.6129984855651855,2.6446919441223145
300,5,,,,
300,6,3.8563175201416016,0.000288581929876693,7.011757850646973,2.6389265060424805
350,6,,,,
350,7,3.723780632019043,0.0002747204418453818,4.460535526275635,2.632434606552124
400,7,,,,
400,8,3.647230386734009,0.00025606601717798207,4.957695960998535,2.6282291412353516
450,8,,,,
450,9,3.634830951690674,0.0002333355349529403,4.810100555419922,2.6238012313842773
500,9,,,,
500,10,3.6551058292388916,0.00020740251485476345,5.515377998352051,2.6211535930633545
550,10,,,,
550,11,3.577298879623413,0.00017926354830241924,9.78906536102295,2.6183080673217773
600,11,,,,
600,12,3.4930224418640137,0.00015,4.389732837677002,2.6170620918273926
650,12,,,,
650,13,3.395200490951538,0.00012073645169758076,2.45206356048584,2.6160027980804443
700,13,,,,
700,14,3.3778820037841797,9.259748514523653e-05,2.283031463623047,2.6156258583068848
750,14,,,,
750,15,3.342604637145996,6.66644650470597e-05,2.0914034843444824,2.615638494491577
800,15,,,,
800,16,3.3609070777893066,4.3933982822017876e-05,2.5100653171539307,2.6159162521362305
850,16,,,,
850,17,3.3223438262939453,2.5279558154618197e-05,1.5221699476242065,2.616177558898926
900,17,,,,
900,18,3.3489432334899902,1.1418070123306989e-05,2.089040994644165,2.6163666248321533
950,18,,,,
950,19,3.3288815021514893,2.882207939515435e-06,2.8308651447296143,2.616467237472534
1000,19,,,,
