step,epoch,loss,lr,grad_norm,logit_scale
0,0,5.694025039672852,0.0,9.752555847167969,2.6592600345611572
50,0,,,,
50,1,4.658504486083984,7.5e-05,8.287735939025879,2.6592934131622314
100,1,,,,
100,2,4.186545372009277,0.00015,12.181731224060059,2.659595251083374
150,2,,,,
150,3,4.014684677124023,0.000225,7.112245559692383,2.656769037246704
200,3,,,,
200,4,3.927112340927124,0.0003,3.64776611328125,2.651390552520752
250,4,,,,
250,5,3.7350566387176514,0.00029711779206048454,3.8174057006835938,2.6447949409484863
300,5,,,,
300,6,3.7872321605682373,0.000288581929876693,4.820341110229492,2.638617992401123
350,6,,,,
350,7,3.77411150932312,0.0002747204418453818,6.686007976531982,2.6335675716400146
400,7,,,,
400,8,3.6689839363098145,0.00025606601717798207,5.373652458190918,2.628159523010254
450,8,,,,
450,9,3.643691062927246,0.0002333355349529403,3.3584210872650146,2.624763250350952
500,9,,,,
500,10,3.5086405277252197,0.00020740251485476345,3.403614044189453,2.621647357940674
550,10,,,,
550,11,3.5633492469787598,0.00017926354830241924,4.716485977172852,2.6193573474884033
600,11,,,,
600,12,3.5044267177581787,0.00015,4.765481472015381,2.617525100708008
650,12,,,,
650,13,3.419588088989258,0.00012073645169758076,2.7832725048065186,2.6167242527008057
700,13,,,,
700,14,3.4064085483551025,9.259748514523653e-05,5.013365745544434,2.6161582469940186
750,14,,,,
750,15,3.4325287342071533,6.66644650470597e-05,3.092050790786743,2.6163392066955566
800,15,,,,
800,16,3.3553683757781982,4.3933982822017876e-05,3.019422769546509,2.6165096759796143
850,16,,,,
850,17,3.335904598236084,2.5279558154618197e-05,2.017491340637207,2.6166813373565674
900,17,,,,
900,18,3.389199733734131,1.1418070123306989e-05,3.0930066108703613,2.6169328689575195
950,18,,,,
950,19,3.3462696075439453,2.882207939515435e-06,2.501521110534668,2.6170480251312256
1000,19,,,,
