step,epoch,loss,lr,grad_norm
0,0,3.943098545074463,0.0,2.5245962142944336
25,0,3.8786733150482178,2.5e-05,2.1089084148406982
50,0,3.8253908157348633,5e-05,2.014998197555542
75,0,3.5875043869018555,7.500000000000001e-05,2.031259059906006
100,0,3.381075382232666,0.0001,1.8735120296478271
125,0,3.2356350421905518,9.991785905592148e-05,2.28401780128479
147,0,,,
150,1,2.988370656967163,9.967170610907369e-05,2.181408643722534
175,1,2.888516426086426,9.92623499288743e-05,2.0268256664276123
200,1,2.8015997409820557,9.869113551144754e-05,2.084110736846924
225,1,2.738356590270996,9.795993966045417e-05,2.120819568634033
250,1,2.5508739948272705,9.707116482059446e-05,2.1808228492736816
275,1,2.468233346939087,9.602773118404518e-05,2.2783429622650146
294,1,,,
300,2,2.6262083053588867,9.48330670957659e-05,2.1404647827148438
325,2,2.398458480834961,9.349109778919936e-05,2.32919979095459
350,2,2.4387311935424805,9.20062324893762e-05,2.5167062282562256
375,2,2.294280767440796,9.038334992579863e-05,2.3065547943115234
400,2,2.351412773132324,8.862778230270275e-05,2.410677671432495
425,2,2.365143299102783,8.674529777936673e-05,2.5314502716064453
441,2,,,
450,3,2.131040573120117,8.474208151802898e-05,2.7607264518737793
475,3,2.1832189559936523,8.262471536168547e-05,2.7942633628845215
500,3,2.1753220558166504,8.040015620853789e-05,3.4979605674743652
525,3,2.139254570007324,7.807571315414614e-05,2.617596387863159
550,3,2.3017773628234863,7.565902347638806e-05,2.431364059448242
575,3,1.9769102334976196,7.315802754213061e-05,2.3111069202423096
588,3,,,
600,4,2.304934024810791,7.05809427180609e-05,3.1625449657440186
625,4,2.1634135246276855,6.79362363713957e-05,3.0785770416259766
650,4,2.067924976348877,6.523259804918e-05,2.39077091217041
675,4,2.10451078414917,6.24789109275832e-05,2.7778806686401367
700,4,2.073038101196289,5.968422262499983e-05,2.346052646636963
725,4,2.103257656097412,5.685771547485311e-05,2.7628676891326904
735,4,,,
750,5,2.181875705718994,5.4008676355773344e-05,2.739161491394043
775,5,1.9474248886108398,5.114646617827884e-05,2.8182990550994873
800,5,1.9383554458618164,4.8280489128214804e-05,2.4198148250579834
825,5,2.0958945751190186,4.5420161768005264e-05,2.593890905380249
850,5,2.0225539207458496,4.257488209723982e-05,3.299337148666382
875,5,1.9216086864471436,3.975399867425146e-05,2.182770252227783
882,5,,,
900,6,2.045449733734131,3.6966779900140194e-05,2.7035791873931885
925,6,2.1806068420410156,3.422238356616431e-05,3.100898027420044
950,6,1.790649175643921,3.1529826764555806e-05,2.4983603954315186
975,6,1.8855493068695068,2.889795626162143e-05,2.577368974685669
1000,6,1.9411249160766602,2.633541943047334e-05,2.6791834831237793
1025,6,2.0242648124694824,2.3850635838893348e-05,2.575993299484253
1029,6,,,
1050,7,2.0080156326293945,2.1451769585683197e-05,2.5285725593566895
1075,7,1.759035587310791,1.9146702476393196e-05,2.82675838470459
1100,7,1.9682748317718506,1.6943008126564163e-05,2.7421751022338867
1125,7,2.214080810546875,1.4847927077570323e-05,3.101300001144409
1150,7,1.988227128982544,1.2868343006823114e-05,2.5678465366363525
1175,7,1.9433623552322388,1.101076011050065e-05,3.662886381149292
1176,7,,,
1200,8,1.9671934843063354,9.281281733115288e-06,2.52494215965271
1225,8,1.923917293548584,7.685590314134294e-06,2.700249195098877
1250,8,1.75892972946167,6.228928717542204e-06,2.506439208984375
1275,8,1.895715594291687,4.916083005688865e-06,2.8076601028442383
1300,8,1.9263110160827637,3.7513667140223417e-06,2.7417197227478027
1323,8,,,
1325,9,1.8689181804656982,2.738606678373873e-06,3.24945330619812
1350,9,1.9937686920166016,1.8811304613615909e-06,3.574162244796753
1375,9,2.0321993827819824,1.1817554192251e-06,3.081568717956543
1400,9,1.8664441108703613,6.427794450134528e-07,3.046433210372925
1425,9,1.8935755491256714,2.6597341854092684e-07,2.7312679290771484
1450,9,1.838208794593811,5.257538791749172e-08,2.491208553314209
1470,9,,,
