step,epoch,loss,lr,grad_norm,logit_scale
0,0,5.839116096496582,0.0,11.098152160644531,2.6592600345611572
50,0,,,,
50,1,4.599417686462402,7.5e-05,6.023495674133301,2.6592936515808105
100,1,,,,
100,2,4.222419738769531,0.00015,8.276817321777344,2.659074068069458
150,2,,,,
150,3,4.147843360900879,0.000225,8.25877857208252,2.656097412109375
200,3,,,,
200,4,3.9265856742858887,0.0003,4.027774333953857,2.6511693000793457
250,4,,,,
250,5,3.931072235107422,0.00029711779206048454,8.116547584533691,2.6443140506744385
300,5,,,,
300,6,3.87191104888916,0.000288581929876693,9.882683753967285,2.6394035816192627
350,6,,,,
350,7,3.6319420337677,0.0002747204418453818,4.638357639312744,2.6339731216430664
400,7,,,,
400,8,3.637763500213623,0.00025606601717798207,3.6023318767547607,2.6286141872406006
450,8,,,,
450,9,3.8043179512023926,0.0002333355349529403,11.412668228149414,2.624121904373169
500,9,,,,
500,10,3.613675594329834,0.00020740251485476345,4.325094223022461,2.620511054992676
550,10,,,,
550,11,3.5101265907287598,0.00017926354830241924,2.5575404167175293,2.6181492805480957
600,11,,,,
600,12,3.5634396076202393,0.00015,6.621357440948486,2.61599063873291
650,12,,,,
650,13,3.4078598022460938,0.00012073645169758076,3.5979321002960205,2.6145753860473633
700,13,,,,
700,14,3.4508230686187744,9.259748514523653e-05,2.4674363136291504,2.6144156455993652
750,14,,,,
750,15,3.424569606781006,6.66644650470597e-05,3.5768284797668457,2.6141743659973145
800,15,,,,
800,16,3.3737781047821045,4.3933982822017876e-05,2.33917498588562,2.6143479347229004
850,16,,,,
850,17,3.3282060623168945,2.5279558154618197e-05,1.4960886240005493,2.6145987510681152
900,17,,,,
900,18,3.3916778564453125,1.1418070123306989e-05,2.4878993034362793,2.614797592163086
950,18,,,,
950,19,3.3647429943084717,2.882207939515435e-06,2.004575490951538,2.614919424057007
1000,19,,,,
