step,loss,lr,grad_norm
0,5.351066589355469,0.0,0.0
25,5.642695903778076,5e-05,0.0
50,3.4857089519500732,0.0001,0.0
75,2.1237547397613525,9.995944990857849e-05,46.5
100,1.4364254474639893,9.983786540671051e-05,0.0
125,1.250179409980774,9.96354437049027e-05,0.0
150,1.1925883293151855,9.935251313189564e-05,0.0
175,1.1831213235855103,9.898953260211338e-05,13.125
200,0.9588773250579834,9.85470908713026e-05,0.0
200,,,
225,0.8126486539840698,9.802590558156862e-05,0.0
250,0.9812218546867371,9.742682209735727e-05,0.0
275,0.833351194858551,9.675081213427076e-05,7.625
300,0.649066150188446,9.599897218294122e-05,0.0
325,0.7408379912376404,9.517252173051911e-05,0.0
350,0.6167922616004944,9.42728012826605e-05,0.0
375,0.6400021910667419,9.330127018922194e-05,3.703125
400,0.6257672309875488,9.225950427718975e-05,0.0
400,,,
425,0.5432427525520325,9.114919329468282e-05,0.0
450,0.591894805431366,8.997213817017507e-05,0.0
475,0.5101376175880432,8.873024809138272e-05,2.890625
500,0.5363974571228027,8.742553740855506e-05,0.0
525,0.66651850938797,8.606012236719073e-05,0.0
550,0.6303207874298096,8.463621767547998e-05,0.0
575,0.4353641867637634,8.315613291203976e-05,4.5
600,0.639110803604126,8.162226877976887e-05,0.0
600,,,
625,0.4685087203979492,8.003711321189895e-05,0.0
650,0.5098224878311157,7.840323733655778e-05,0.0
675,0.5064338445663452,7.672329130639005e-05,3.015625
700,0.586182713508606,7.500000000000001e-05,0.0
725,0.4799325466156006,7.323615860218843e-05,0.0
750,0.4764716923236847,7.143462807015271e-05,0.0
775,0.5110553503036499,6.959833049300377e-05,2.96875
800,0.5637935400009155,6.773024435212678e-05,0.0
800,,,
825,0.610721230506897,6.583339969007363e-05,0.0
850,0.4786456525325775,6.391087319582264e-05,0.0
875,0.4700744152069092,6.19657832143779e-05,3.046875
900,0.4990209639072418,6.0001284688802226e-05,0.0
925,0.4101678729057312,5.8020564042888015e-05,0.0
950,0.4256102740764618,5.602683401276615e-05,0.0
975,0.44727063179016113,5.402332843583631e-05,3.09375
1000,0.46576592326164246,5.201329700547076e-05,0.0
1000,,,
1025,0.6052974462509155,5e-05,0.0
1050,0.4399724006652832,4.798670299452926e-05,0.0
1075,0.5333238840103149,4.597667156416371e-05,6.1875
1100,0.5836861729621887,4.397316598723385e-05,0.0
1125,0.51951664686203,4.197943595711198e-05,0.0
1150,0.5740662813186646,3.9998715311197785e-05,0.0
1175,0.48498988151550293,3.803421678562213e-05,2.640625
1200,0.4517338275909424,3.608912680417737e-05,0.0
1200,,,
1225,0.5591099858283997,3.4166600309926387e-05,0.0
1250,0.43488675355911255,3.226975564787322e-05,0.0
1275,0.5846043229103088,3.0401669506996256e-05,3.4375
1300,0.4963952600955963,2.8565371929847284e-05,0.0
1325,0.473304808139801,2.6763841397811573e-05,0.0
1350,0.4721463620662689,2.500000000000001e-05,0.0
1375,0.5007010698318481,2.3276708693609943e-05,2.1875
1400,0.475416362285614,2.1596762663442218e-05,0.0
1400,,,
1425,0.5471007227897644,1.996288678810105e-05,0.0
1450,0.5005532503128052,1.837773122023114e-05,0.0
1475,0.4711647927761078,1.684386708796025e-05,1.953125
1500,0.5177707076072693,1.536378232452003e-05,0.0
1525,0.4812127351760864,1.3939877632809278e-05,0.0
1550,0.3830317556858063,1.257446259144494e-05,0.0
1575,0.4268219769001007,1.1269751908617277e-05,2.234375
1600,0.43700283765792847,1.0027861829824952e-05,0.0
1600,,,
1625,0.4643127918243408,8.850806705317183e-06,0.0
1650,0.4898872375488281,7.740495722810271e-06,0.0
1675,0.4702135920524597,6.698729810778065e-06,2.140625
1700,0.47109255194664,5.727198717339511e-06,0.0
1725,0.6254739761352539,4.827478269480895e-06,0.0
1750,0.48047712445259094,4.001027817058789e-06,0.0
1775,0.4480566382408142,3.249187865729264e-06,2.375
1800,0.5120677947998047,2.573177902642726e-06,0.0
1800,,,
1825,0.4802444875240326,1.974094418431388e-06,0.0
1850,0.4803735017776489,1.4529091286973995e-06,0.0
1875,0.4128665328025818,1.0104673978866164e-06,2.609375
1900,0.5353540778160095,6.474868681043578e-07,0.0
1925,0.45119574666023254,3.6455629509730136e-07,0.0
1950,0.4724617004394531,1.6213459328950352e-07,0.0
1975,0.5077810287475586,4.055009142152067e-08,2.5625
