step,epoch,loss,lr,grad_norm
0,0,3.9165215492248535,0.0,2.2562568187713623
25,0,3.840017557144165,2.5e-05,2.243929862976074
50,0,3.8246006965637207,5e-05,2.174846649169922
75,0,3.6979823112487793,7.500000000000001e-05,2.1217286586761475
100,0,3.461656093597412,0.0001,2.0850844383239746
125,0,3.2789690494537354,9.991785905592148e-05,1.863521933555603
147,0,,,
150,1,3.018479585647583,9.967170610907369e-05,1.9999216794967651
175,1,3.0079689025878906,9.92623499288743e-05,1.9048830270767212
200,1,2.975964307785034,9.869113551144754e-05,1.915609359741211
225,1,2.9275741577148438,9.795993966045417e-05,1.9244906902313232
250,1,2.7685046195983887,9.707116482059446e-05,2.1224894523620605
275,1,2.593593120574951,9.602773118404518e-05,2.0577595233917236
294,1,,,
300,2,2.520400047302246,9.48330670957659e-05,2.4281272888183594
325,2,2.5391154289245605,9.349109778919936e-05,1.9514634609222412
350,2,2.4490175247192383,9.20062324893762e-05,2.099807024002075
375,2,2.40195894241333,9.038334992579863e-05,3.0126287937164307
400,2,2.37800931930542,8.862778230270275e-05,2.2598037719726562
425,2,2.1630520820617676,8.674529777936673e-05,2.348905563354492
441,2,,,
450,3,2.314861297607422,8.474208151802898e-05,2.261012554168701
475,3,2.488801956176758,8.262471536168547e-05,2.6347122192382812
500,3,2.159618377685547,8.040015620853789e-05,2.301227569580078
525,3,2.315547466278076,7.807571315414614e-05,2.4296300411224365
550,3,2.286350727081299,7.565902347638806e-05,2.051449775695801
575,3,2.140895366668701,7.315802754213061e-05,2.4455246925354004
588,3,,,
600,4,2.2721757888793945,7.05809427180609e-05,2.5366439819335938
625,4,2.298252582550049,6.79362363713957e-05,2.2363059520721436
650,4,2.1218488216400146,6.523259804918e-05,2.188082218170166
675,4,2.208519458770752,6.24789109275832e-05,2.494779109954834
700,4,2.3224828243255615,5.968422262499983e-05,2.2349934577941895
725,4,2.083448648452759,5.685771547485311e-05,3.1275203227996826
735,4,,,
750,5,2.2886393070220947,5.4008676355773344e-05,2.4108757972717285
775,5,2.153280735015869,5.114646617827884e-05,2.1722326278686523
800,5,2.3083865642547607,4.8280489128214804e-05,2.345487356185913
825,5,2.145118474960327,4.5420161768005264e-05,2.0353751182556152
850,5,2.1853039264678955,4.257488209723982e-05,2.6149256229400635
875,5,2.210439682006836,3.975399867425146e-05,2.6201171875
882,5,,,
900,6,2.1209802627563477,3.6966779900140194e-05,2.545182228088379
925,6,2.039963722229004,3.422238356616431e-05,2.5783064365386963
950,6,2.185519218444824,3.1529826764555806e-05,2.495776891708374
975,6,1.9478223323822021,2.889795626162143e-05,2.0921638011932373
1000,6,2.0371809005737305,2.633541943047334e-05,2.436962366104126
1025,6,2.0706729888916016,2.3850635838893348e-05,2.4491403102874756
1029,6,,,
1050,7,2.311572313308716,2.1451769585683197e-05,2.6513121128082275
1075,7,2.1008687019348145,1.9146702476393196e-05,2.3397960662841797
1100,7,2.138756036758423,1.6943008126564163e-05,2.6404292583465576
1125,7,2.0922248363494873,1.4847927077570323e-05,2.2968902587890625
1150,7,2.0900044441223145,1.2868343006823114e-05,3.591320753097534
1175,7,1.9564073085784912,1.101076011050065e-05,2.253077268600464
1176,7,,,
1200,8,1.8911633491516113,9.281281733115288e-06,2.85861873626709
1225,8,1.9869186878204346,7.685590314134294e-06,2.362140655517578
1250,8,1.95518958568573,6.228928717542204e-06,2.6651716232299805
1275,8,1.88150954246521,4.916083005688865e-06,3.0365030765533447
1300,8,1.887455940246582,3.7513667140223417e-06,2.6915574073791504
1323,8,,,
1325,9,2.138366222381592,2.738606678373873e-06,3.4428107738494873
1350,9,2.1440889835357666,1.8811304613615909e-06,2.9004266262054443
1375,9,2.168778896331787,1.1817554192251e-06,2.789515256881714
1400,9,1.8559296131134033,6.427794450134528e-07,2.678496837615967
1425,9,2.0048885345458984,2.6597341854092684e-07,2.230462074279785
1450,9,2.1384735107421875,5.257538791749172e-08,2.8152103424072266
1470,9,,,
