step,epoch,loss,lr,grad_norm
0,0,3.9763615131378174,0.0,2.260331392288208
25,0,3.848040819168091,2.5e-05,2.239992141723633
50,0,3.8292791843414307,5e-05,2.232034206390381
75,0,3.6745970249176025,7.500000000000001e-05,1.9797381162643433
100,0,3.5735838413238525,0.0001,1.7668378353118896
125,0,3.3932952880859375,9.991785905592148e-05,2.0045981407165527
147,0,,,
150,1,3.2028937339782715,9.967170610907369e-05,1.7996320724487305
175,1,3.0206170082092285,9.92623499288743e-05,1.7929240465164185
200,1,3.0756192207336426,9.869113551144754e-05,1.920437216758728
225,1,2.9901015758514404,9.795993966045417e-05,1.7766149044036865
250,1,2.8471274375915527,9.707116482059446e-05,2.0009171962738037
275,1,2.9556121826171875,9.602773118404518e-05,1.8139835596084595
294,1,,,
300,2,2.8837320804595947,9.48330670957659e-05,1.8674492835998535
325,2,2.9551732540130615,9.349109778919936e-05,1.8411563634872437
350,2,2.6489953994750977,9.20062324893762e-05,1.823486566543579
375,2,2.6916589736938477,9.038334992579863e-05,1.8377718925476074
400,2,2.79756236076355,8.862778230270275e-05,2.0227560997009277
425,2,2.563016414642334,8.674529777936673e-05,2.0489470958709717
441,2,,,
450,3,2.439079761505127,8.474208151802898e-05,1.8238383531570435
475,3,2.5988833904266357,8.262471536168547e-05,1.7586475610733032
500,3,2.5843257904052734,8.040015620853789e-05,2.3711605072021484
525,3,2.523037910461426,7.807571315414614e-05,1.9787085056304932
550,3,2.622788429260254,7.565902347638806e-05,2.0621414184570312
575,3,2.3961660861968994,7.315802754213061e-05,2.094355821609497
588,3,,,
600,4,2.5335612297058105,7.05809427180609e-05,1.861985445022583
625,4,2.4654860496520996,6.79362363713957e-05,2.295748710632324
650,4,2.2444376945495605,6.523259804918e-05,2.207247257232666
675,4,2.5078988075256348,6.24789109275832e-05,2.2101998329162598
700,4,2.3630826473236084,5.968422262499983e-05,2.0486819744110107
725,4,2.2590627670288086,5.685771547485311e-05,2.0141677856445312
735,4,,,
750,5,2.361316680908203,5.4008676355773344e-05,2.1579933166503906
775,5,2.2563886642456055,5.114646617827884e-05,2.0413784980773926
800,5,2.325991153717041,4.8280489128214804e-05,2.247734308242798
825,5,2.401836395263672,4.5420161768005264e-05,2.137258291244507
850,5,2.45298433303833,4.257488209723982e-05,2.1509110927581787
875,5,2.2922937870025635,3.975399867425146e-05,2.1043894290924072
882,5,,,
900,6,2.235816240310669,3.6966779900140194e-05,2.1464056968688965
925,6,2.3561863899230957,3.422238356616431e-05,2.0955259799957275
950,6,2.185438871383667,3.1529826764555806e-05,1.9800515174865723
975,6,2.341259479522705,2.889795626162143e-05,2.261478900909424
1000,6,2.275777816772461,2.633541943047334e-05,2.1598281860351562
1025,6,2.410723924636841,2.3850635838893348e-05,2.1704704761505127
1029,6,,,
1050,7,2.272789478302002,2.1451769585683197e-05,2.235381603240967
1075,7,2.2683260440826416,1.9146702476393196e-05,1.9197975397109985
1100,7,2.335792064666748,1.6943008126564163e-05,2.041701316833496
1125,7,2.2313668727874756,1.4847927077570323e-05,2.4134719371795654
1150,7,1.981823205947876,1.2868343006823114e-05,2.3927114009857178
1175,7,2.1409952640533447,1.101076011050065e-05,2.2808310985565186
1176,7,,,
1200,8,2.1087558269500732,9.281281733115288e-06,2.1437265872955322
1225,8,2.1855626106262207,7.685590314134294e-06,2.321118116378784
1250,8,2.191162109375,6.228928717542204e-06,2.163332462310791
1275,8,2.2985270023345947,4.916083005688865e-06,2.1734015941619873
1300,8,2.2795729637145996,3.7513667140223417e-06,2.070019483566284
1323,8,,,
1325,9,2.332465648651123,2.738606678373873e-06,2.68286395072937
1350,9,2.211660146713257,1.8811304613615909e-06,2.3223862648010254
1375,9,2.2907462120056152,1.1817554192251e-06,2.281475067138672
1400,9,2.2757835388183594,6.427794450134528e-07,2.0196800231933594
1425,9,2.34291934967041,2.6597341854092684e-07,2.1624350547790527
1450,9,2.3176233768463135,5.257538791749172e-08,2.3838417530059814
1470,9,,,
