step,epoch,loss,lr,grad_norm
0,0,4.056385517120361,0.0,2.2421364784240723
25,0,3.893548011779785,2.5e-05,2.2166059017181396
50,0,3.8812923431396484,5e-05,2.230534791946411
75,0,3.664649486541748,7.500000000000001e-05,1.9900614023208618
100,0,3.607996702194214,0.0001,1.9488873481750488
125,0,3.4500198364257812,9.991785905592148e-05,1.8391180038452148
147,0,,,
150,1,3.289804458618164,9.967170610907369e-05,1.6393320560455322
175,1,3.1785969734191895,9.92623499288743e-05,1.7796868085861206
200,1,3.0609583854675293,9.869113551144754e-05,1.8664538860321045
225,1,3.1783158779144287,9.795993966045417e-05,1.7624399662017822
250,1,3.0770082473754883,9.707116482059446e-05,1.7276867628097534
275,1,2.9193663597106934,9.602773118404518e-05,1.8327789306640625
294,1,,,
300,2,2.9940524101257324,9.48330670957659e-05,1.9599171876907349
325,2,2.8523120880126953,9.349109778919936e-05,1.7899110317230225
350,2,2.834728717803955,9.20062324893762e-05,1.6912057399749756
375,2,2.6421990394592285,9.038334992579863e-05,1.9477323293685913
400,2,2.8239004611968994,8.862778230270275e-05,2.0290069580078125
425,2,2.7016549110412598,8.674529777936673e-05,1.8196924924850464
441,2,,,
450,3,2.879863739013672,8.474208151802898e-05,2.2498152256011963
475,3,2.656008720397949,8.262471536168547e-05,1.8811960220336914
500,3,2.6759402751922607,8.040015620853789e-05,1.7564746141433716
525,3,2.6239020824432373,7.807571315414614e-05,1.7577173709869385
550,3,2.572539806365967,7.565902347638806e-05,1.889768123626709
575,3,2.570753812789917,7.315802754213061e-05,1.811535358428955
588,3,,,
600,4,2.543278694152832,7.05809427180609e-05,1.8901770114898682
625,4,2.504180669784546,6.79362363713957e-05,1.9548505544662476
650,4,2.667011260986328,6.523259804918e-05,1.8133809566497803
675,4,2.5141539573669434,6.24789109275832e-05,1.8473701477050781
700,4,2.561392307281494,5.968422262499983e-05,2.2695400714874268
725,4,2.3777637481689453,5.685771547485311e-05,1.8480594158172607
735,4,,,
750,5,2.396939754486084,5.4008676355773344e-05,1.8836249113082886
775,5,2.534818649291992,5.114646617827884e-05,1.7833969593048096
800,5,2.6120920181274414,4.8280489128214804e-05,2.2099697589874268
825,5,2.5096373558044434,4.5420161768005264e-05,2.005431890487671
850,5,2.457059860229492,4.257488209723982e-05,2.029090166091919
875,5,2.5029966831207275,3.975399867425146e-05,1.9886687994003296
882,5,,,
900,6,2.39682936668396,3.6966779900140194e-05,1.9459631443023682
925,6,2.5080950260162354,3.422238356616431e-05,2.2638978958129883
950,6,2.3195505142211914,3.1529826764555806e-05,1.8554168939590454
975,6,2.3688557147979736,2.889795626162143e-05,2.4817159175872803
1000,6,2.48079252243042,2.633541943047334e-05,2.1744165420532227
1025,6,2.4484174251556396,2.3850635838893348e-05,2.0258901119232178
1029,6,,,
1050,7,2.3715312480926514,2.1451769585683197e-05,1.803162693977356
1075,7,2.4879090785980225,1.9146702476393196e-05,2.185647487640381
1100,7,2.2476298809051514,1.6943008126564163e-05,2.049577236175537
1125,7,2.3638060092926025,1.4847927077570323e-05,2.1320271492004395
1150,7,2.3626198768615723,1.2868343006823114e-05,2.3629820346832275
1175,7,2.1980690956115723,1.101076011050065e-05,1.9091671705245972
1176,7,,,
1200,8,2.361987590789795,9.281281733115288e-06,1.9688081741333008
1225,8,2.4272117614746094,7.685590314134294e-06,2.1452579498291016
1250,8,2.279355525970459,6.228928717542204e-06,1.996377944946289
1275,8,2.2516825199127197,4.916083005688865e-06,1.9263179302215576
1300,8,2.3460865020751953,3.7513667140223417e-06,2.090505599975586
1323,8,,,
1325,9,2.4293460845947266,2.738606678373873e-06,2.382638692855835
1350,9,2.362178325653076,1.8811304613615909e-06,1.9099963903427124
1375,9,2.2159180641174316,1.1817554192251e-06,1.8793150186538696
1400,9,2.359788417816162,6.427794450134528e-07,2.1325252056121826
1425,9,2.429420232772827,2.6597341854092684e-07,2.0004453659057617
1450,9,2.5048818588256836,5.257538791749172e-08,2.261958122253418
1470,9,,,
