step,epoch,loss,lr,grad_norm
0,0,3.992572784423828,0.0,2.208008289337158
25,0,3.8791608810424805,2.5e-05,2.070126533508301
50,0,3.841097354888916,5e-05,2.0181992053985596
75,0,3.662815809249878,7.500000000000001e-05,2.079390525817871
100,0,3.535583257675171,0.0001,1.859555721282959
125,0,3.3380813598632812,9.991785905592148e-05,1.8811712265014648
147,0,,,
150,1,3.215757369995117,9.967170610907369e-05,1.75328528881073
175,1,3.1204800605773926,9.92623499288743e-05,1.9298588037490845
200,1,3.064718246459961,9.869113551144754e-05,2.0262327194213867
225,1,3.0615153312683105,9.795993966045417e-05,1.7843645811080933
250,1,2.8906288146972656,9.707116482059446e-05,1.8848834037780762
275,1,2.8290646076202393,9.602773118404518e-05,1.8167774677276611
294,1,,,
300,2,2.7425289154052734,9.48330670957659e-05,1.8329901695251465
325,2,2.5069034099578857,9.349109778919936e-05,1.9693715572357178
350,2,2.647123098373413,9.20062324893762e-05,2.0812339782714844
375,2,2.6537258625030518,9.038334992579863e-05,1.9585893154144287
400,2,2.440258264541626,8.862778230270275e-05,2.068380117416382
425,2,2.5485053062438965,8.674529777936673e-05,1.9248206615447998
441,2,,,
450,3,2.4585163593292236,8.474208151802898e-05,2.0402424335479736
475,3,2.4108805656433105,8.262471536168547e-05,2.3788206577301025
500,3,2.449366569519043,8.040015620853789e-05,1.9698766469955444
525,3,2.4218695163726807,7.807571315414614e-05,2.015172243118286
550,3,2.478494167327881,7.565902347638806e-05,2.211902141571045
575,3,2.428727388381958,7.315802754213061e-05,2.6131179332733154
588,3,,,
600,4,2.510392427444458,7.05809427180609e-05,2.304349184036255
625,4,2.124908447265625,6.79362363713957e-05,2.258829116821289
650,4,2.3705859184265137,6.523259804918e-05,2.8303966522216797
675,4,2.379102945327759,6.24789109275832e-05,2.0089800357818604
700,4,2.4119467735290527,5.968422262499983e-05,2.429363965988159
725,4,2.0110225677490234,5.685771547485311e-05,1.975490927696228
735,4,,,
750,5,2.2949256896972656,5.4008676355773344e-05,2.252922534942627
775,5,2.1805906295776367,5.114646617827884e-05,1.9621919393539429
800,5,2.096834897994995,4.8280489128214804e-05,2.5918099880218506
825,5,2.2421388626098633,4.5420161768005264e-05,2.427870988845825
850,5,2.458016872406006,4.257488209723982e-05,2.3088653087615967
875,5,2.1605138778686523,3.975399867425146e-05,2.044945240020752
882,5,,,
900,6,2.1596713066101074,3.6966779900140194e-05,2.036757707595825
925,6,2.0551207065582275,3.422238356616431e-05,2.0265910625457764
950,6,2.263725757598877,3.1529826764555806e-05,2.7574970722198486
975,6,2.1104376316070557,2.889795626162143e-05,2.1719377040863037
1000,6,2.2646970748901367,2.633541943047334e-05,2.3461484909057617
1025,6,2.015932083129883,2.3850635838893348e-05,2.297590970993042
1029,6,,,
1050,7,2.144554376602173,2.1451769585683197e-05,2.484502077102661
1075,7,2.0936055183410645,1.9146702476393196e-05,2.215881586074829
1100,7,2.2216391563415527,1.6943008126564163e-05,2.2453808784484863
1125,7,2.1301300525665283,1.4847927077570323e-05,2.085843563079834
1150,7,2.071592330932617,1.2868343006823114e-05,2.263681173324585
1175,7,2.110567092895508,1.101076011050065e-05,2.184887170791626
1176,7,,,
1200,8,2.059417724609375,9.281281733115288e-06,2.4914252758026123
1225,8,2.073866844177246,7.685590314134294e-06,2.120680570602417
1250,8,2.112387180328369,6.228928717542204e-06,2.3081812858581543
1275,8,2.2296435832977295,4.916083005688865e-06,2.2265114784240723
1300,8,2.0758445262908936,3.7513667140223417e-06,2.2998108863830566
1323,8,,,
1325,9,2.0714831352233887,2.738606678373873e-06,2.3204917907714844
1350,9,2.2139201164245605,1.8811304613615909e-06,2.0650856494903564
1375,9,2.1563196182250977,1.1817554192251e-06,1.8674451112747192
1400,9,2.3017630577087402,6.427794450134528e-07,3.4078989028930664
1425,9,2.1512503623962402,2.6597341854092684e-07,2.194180727005005
1450,9,2.2014389038085938,5.257538791749172e-08,2.433255434036255
1470,9,,,
